tags,scores
"['calculator', 'android', 'selection', 'note', 'value']","[4.605170185988092, 2.629918422989986, 2.629918422989986, 1.9944450276995833, 1.8971199848858813]"
"['connecte', 'device', 'application', 'mean', 'thank']","[3.453877639491069, 3.2188758248682006, 2.1100580375700275, 1.9944450276995833, 1.8059592064889038]"
"['denormalizers', 'collection', 'meteor', 'facilitate', 'scenario']","[3.223619130191664, 2.8052463178559854, 2.763102111592855, 2.763102111592855, 2.763102111592855]"
"['duplicate', 'enter', 'description', 'kind', 'image']","[2.9340172540711094, 2.9340172540711094, 2.9340172540711094, 2.629918422989986, 2.4141568686511503]"
"['asset', 'demand', 'ar', 'reality', 'tag']","[3.912023005428146, 3.223619130191664, 3.223619130191664, 2.763102111592855, 2.763102111592855]"
"['py', 'sqla', 'cx', 'freeze', 'lib']","[4.605170185988092, 3.7828183670616466, 3.124936911920491, 3.124936911920491, 3.124936911920491]"
"['swap', 'movement', 'vice', 'versa', 'target']","[4.605170185988092, 3.684136148790474, 2.763102111592855, 2.763102111592855, 2.3965858188431928]"
"['margin', 'sidebar', 'width', 'flexbox', 'space']","[4.605170185988092, 3.8376418216567427, 3.0701134573253945, 3.0701134573253945, 3.0701134573253945]"
"['nodejs', 'help', 'lass', 'text', 'post']","[2.629918422989986, 1.1704858111985013, 0.11306627835189194, 0.010050335853501506, 0.00753775189012613]"
"['behaves', 'snippet', 'jsx', 'bracket', 'inner']","[2.8142706692149453, 2.6080153369520973, 2.5584278811044956, 2.5584278811044956, 2.5584278811044956]"
"['submit', 'form', 'body', 'care', 'ejs']","[3.8376418216567427, 3.506557897319982, 3.2600191711901214, 3.0701134573253945, 3.0701134573253945]"
"['period', 'provide', 'registration', 'letter', 'character']","[3.129618404342517, 2.763102111592855, 2.763102111592855, 2.763102111592855, 2.738416103799702]"
"['color', 'titlebar', 'mainpage', 'blank', 'suggestion']","[3.506557897319982, 2.8782313662425576, 2.8782313662425576, 2.8782313662425576, 2.629918422989986]"
"['box', 'restrict', 'scroll', 'bar', 'break']","[3.912023005428146, 3.453877639491069, 3.453877639491069, 2.9340172540711094, 2.9340172540711094]"
"['datafrmae', 'extract', 'output', 'value', 'data']","[2.8782313662425576, 2.629918422989986, 2.2467992051654933, 1.1856999905536758, 0.9463298328936097]"
"['spotify', 'axios', 'redux', 'api', 'line']","[3.453877639491069, 3.453877639491069, 3.453877639491069, 2.995732273553991, 2.1100580375700275]"
"['aggregate', 'workaround', 'postgresql', 'median', 'percentile']","[4.093484609767192, 4.093484609767192, 3.5817990335462935, 3.5817990335462935, 3.3259562454358442]"
"['probability', 'evaluate', 'becomes', 'exp', 'sum']","[4.605170185988092, 3.0110728139152907, 2.656828953454668, 2.656828953454668, 2.5624846172722946]"
"['controller', 'event', 'listener', 'detects', 'manipulates']","[3.068238160154984, 2.8134107167600364, 2.68951581623185, 2.5904082296183017, 2.5904082296183017]"
"['email', 'cron', 'send', 'concern', 'pull']","[4.605170185988092, 3.453877639491069, 2.9340172540711094, 2.68634927515972, 2.68634927515972]"
"['cs', 'transition', 'downwards', 'drop', 'opacity']","[3.506557897319982, 3.453877639491069, 3.453877639491069, 3.453877639491069, 3.453877639491069]"
"['lunch', 'dinner', 'pm', 'hour', 'generate']","[4.02952391273958, 4.02952391273958, 4.02952391273958, 3.453877639491069, 3.453877639491069]"
"['cell', 'pointer', 'container', 'con', 'grasp']","[4.605170185988092, 2.68634927515972, 2.6080153369520973, 2.494467184076883, 2.494467184076883]"
"['datasource', 'vikramsinghsengar', 'springbootmultidatasource', 'fetching', 'hibernate']","[4.605170185988092, 3.453877639491069, 3.453877639491069, 3.453877639491069, 3.453877639491069]"
"['route', 'uri', 'event', 'duplicate', 'reason']","[3.2188758248682006, 2.8782313662425576, 2.461734377165032, 2.445014378392591, 2.1915986858249887]"
"['arc', 'callback', 'leak', 'response', 'javascript']","[3.453877639491069, 2.8782313662425576, 2.8782313662425576, 2.445014378392591, 2.1915986858249887]"
"['tensor', 'vector', 'pytorch', 'rgb', 'multiply']","[4.605170185988092, 4.605170185988092, 3.8376418216567427, 3.8376418216567427, 3.2600191711901214]"
"['fragment', 'activity', 'button', 'visibility', 'press']","[3.2600191711901214, 2.9340172540711094, 2.8134107167600364, 2.68634927515972, 2.68634927515972]"
"['crash', 'program', 'hi', 'expression', 'anything']","[4.605170185988092, 2.995732273553991, 2.9340172540711094, 2.629918422989986, 2.4141568686511503]"
"['pca', 'living', 'pc', 'scale', 'slvuemp']","[3.684136148790474, 3.684136148790474, 3.684136148790474, 3.684136148790474, 3.223619130191664]"
"['research', 'manages', 'balance', 'dd', 'gate']","[2.5904082296183017, 2.5904082296183017, 2.5904082296183017, 2.5904082296183017, 2.5904082296183017]"
"['selenium', 'button', 'cannot', 'course', 'string']","[3.453877639491069, 2.8134107167600364, 2.629918422989986, 2.4141568686511503, 2.4141568686511503]"
[],[]
"['orderitem', 'product', 'join', 'productid', 'lecture']","[3.684136148790474, 3.5208207048853315, 2.8052463178559854, 2.763102111592855, 2.763102111592855]"
"['reconnect', 'stream', 'scope', 'websocket', 'socket']","[3.3259562454358442, 3.0701134573253945, 3.042684559777447, 2.8142706692149453, 2.6080153369520973]"
"['ball', 'hit', 'programm', 'tkinter', 'collision']","[4.605170185988092, 2.8782313662425576, 2.5904082296183017, 2.5904082296183017, 2.5904082296183017]"
"['color', 'cs', 'hue', 'luck', 'accent']","[3.506557897319982, 3.068238160154984, 2.9340172540711094, 2.8782313662425576, 2.8782313662425576]"
"['angular', 'folder', 'directory', 'dist', 'provider']","[4.605170185988092, 3.618348003276358, 3.618348003276358, 3.2894072757057797, 3.2894072757057797]"
"['dataset', 'news', 'detector', 'similarity', 'tfidf']","[4.605170185988092, 3.453877639491069, 3.453877639491069, 3.453877639491069, 3.453877639491069]"
"['export', 'arrival', 'departure', 'dataframe', 'fetch']","[3.8376418216567427, 3.8376418216567427, 3.8376418216567427, 3.2600191711901214, 3.0701134573253945]"
"['render', 'parent', 'componentwillmount', 'componentdidmount', 'child']","[3.309966071178941, 3.287398028737483, 3.0221429345546853, 3.0221429345546853, 2.8134107167600364]"
"['reinstall', 'speed', 'plugins', 'info', 'plugin']","[3.8376418216567427, 3.8376418216567427, 3.2600191711901214, 3.0701134573253945, 3.0701134573253945]"
"['record', 'ismechanic', 'loadedmechanics', 'collection', 'document']","[3.912023005428146, 3.0701134573253945, 3.0701134573253945, 2.9221315810999844, 2.6823965207235]"
"['sticker', 'telegram', 'bot', 'history', 'caadagadoqadfyesdlkeqood']","[4.605170185988092, 3.912023005428146, 3.2600191711901214, 3.0701134573253945, 3.0701134573253945]"
"['mask', 'blazor', 'inputbase', 'imask', 'cshtml']","[4.605170185988092, 2.9604665481352015, 2.9604665481352015, 2.9604665481352015, 2.9604665481352015]"
"['queryselector', 'const', 'templete', 'string', 'document']","[4.605170185988092, 3.2600191711901214, 3.0701134573253945, 2.6823965207235, 2.6823965207235]"
"['marketing', 'platform', 'april', 'developer', 'request']","[3.453877639491069, 2.9340172540711094, 2.9340172540711094, 2.629918422989986, 2.4141568686511503]"
"['container', 'guidance', 'option', 'lass', 'text']","[2.9340172540711094, 2.9340172540711094, 1.9944450276995833, 0.08291527079138743, 0.010050335853501506]"
"['column', 'dataframe', 'wonder', 'join', 'condition']","[2.8134107167600364, 2.6080153369520973, 2.337705264879988, 2.337705264879988, 2.337705264879988]"
"['constant', 'algorithm', 'computation', 'insertion', 'sort']","[4.605170185988092, 4.221406003822418, 3.8376418216567427, 3.586021088309134, 3.506557897319982]"
"['music', 'player', 'employer', 'react', 'experience']","[3.684136148790474, 3.684136148790474, 3.223619130191664, 3.2188758248682006, 2.763102111592855]"
"['typo', 'mamp', 'mac', 'installation', 'year']","[4.605170185988092, 4.605170185988092, 3.453877639491069, 2.9340172540711094, 2.9340172540711094]"
"['condition', 'statement', 'file', 'problem', 'see']","[2.629918422989986, 1.9944450276995833, 1.8971199848858813, 1.1704858111985013, 1.1704858111985013]"
"['install', 'rasa', 'installation', 'anaconda', 'poetry']","[3.506557897319982, 3.453877639491069, 2.9340172540711094, 2.9340172540711094, 2.8782313662425576]"
"['woody', 'peter', 'susan', 'morning', 'everybody']","[3.223619130191664, 3.223619130191664, 3.223619130191664, 2.763102111592855, 2.763102111592855]"
"['search', 'web', 'input', 'loop', 'box']","[3.2600191711901214, 3.0701134573253945, 2.995732273553991, 2.659260036932778, 2.6080153369520973]"
"['sas', 'compile', 'doesnt', 'phpstorm', 'style']","[4.605170185988092, 2.9340172540711094, 2.8782313662425576, 2.5904082296183017, 2.212977129596888]"
"['alarm', 'period', 'app', 'service', 'manager']","[2.8782313662425576, 2.445014378392591, 2.207274913189721, 2.1915986858249887, 2.0117973905426254]"
"['gcc', 'resolve', 'pip', 'install', 'cmd']","[3.8376418216567427, 3.8376418216567427, 3.2600191711901214, 2.9221315810999844, 2.6080153369520973]"
"['price', 'row', 'qty', 'quantity', 'eah']","[3.684136148790474, 3.506557897319982, 3.223619130191664, 2.763102111592855, 2.763102111592855]"
"['dash', 'download', 'frame', 'put', 'selection']","[4.605170185988092, 3.912023005428146, 3.506557897319982, 2.659260036932778, 2.629918422989986]"
"['json', 'serialize', 'gson', 'forward', 'alternate']","[3.506557897319982, 3.453877639491069, 3.453877639491069, 3.453877639491069, 3.453877639491069]"
"['kt', 'fun', 'kapt', 'mixersimplefragmentbindingimpl', 'bindingadapters']","[3.8376418216567427, 3.8376418216567427, 3.0701134573253945, 3.0701134573253945, 3.0701134573253945]"
"['tree', 'recursion', 'root', 'path', 'compare']","[4.605170185988092, 3.223619130191664, 3.129618404342517, 2.8052463178559854, 2.763102111592855]"
"['b', 'injection', 'aobj', 'counstruct', 'refactory']","[2.995732273553991, 2.467055456779335, 2.467055456779335, 2.467055456779335, 2.467055456779335]"
"['photo', 'createdat', 'storage', 'performance', 'desc']","[4.605170185988092, 3.453877639491069, 3.453877639491069, 2.9340172540711094, 2.8782313662425576]"
"['git', 'maintain', 'hoping', 'feel', 'brunch']","[3.223619130191664, 2.763102111592855, 2.763102111592855, 2.763102111592855, 2.763102111592855]"
"['edifact', 'ansi', 'un', 'smooks', 'x']","[3.618348003276358, 3.2894072757057797, 3.2894072757057797, 3.2894072757057797, 2.995732273553991]"
"['typescript', 'react', 'target', 'fix', 'e']","[4.605170185988092, 2.1459172165788, 1.9971548490359938, 1.7728400246218519, 1.6838190962055037]"
"['attribute', 'item', 'admin', 'tab', 'configuration']","[2.995732273553991, 2.8142706692149453, 2.390680725539423, 2.173346114126748, 2.173346114126748]"
"['expansion', 'tile', 'navigation', 'listview', 'expansiontile']","[4.605170185988092, 4.605170185988092, 2.8782313662425576, 2.8782313662425576, 2.8782313662425576]"
"['cat', 'collection', 'show', 'database', 'code']","[3.453877639491069, 2.629918422989986, 1.9944450276995833, 1.530165621394916, 0.766238435648986]"
"['group', 'rewrite', 'freebie', 'category', 'www']","[4.605170185988092, 4.144653167389283, 4.144653167389283, 3.5208207048853315, 3.5208207048853315]"
"['activitythread', 'fe', 'android', 'java', 'zygoteinit']","[3.8376418216567427, 3.377124803057934, 3.0390168443439842, 2.995732273553991, 2.9166077844591247]"
"['youtube', 'video', 'analytics', 'percentage', 'track']","[3.453877639491069, 2.9340172540711094, 2.8782313662425576, 2.8782313662425576, 2.8782313662425576]"
"['language', 'bot', 'sleep', 'command', 'comment']","[3.8376418216567427, 3.2600191711901214, 2.6080153369520973, 2.337705264879988, 2.337705264879988]"
"['referral', 'improvement', 'harder', 'concatenate', 'furthermore']","[3.0701134573253945, 2.68634927515972, 2.68634927515972, 2.68634927515972, 2.68634927515972]"
"['excuse', 'output', 'convert', 'give', 'list']","[3.0701134573253945, 2.995732273553991, 2.6823965207235, 1.7728400246218519, 1.5350567286626973]"
"['address', 'django', 'serializer', 'serialiser', 'detail']","[3.8376418216567427, 3.0701134573253945, 3.0701134573253945, 3.0701134573253945, 2.6080153369520973]"
"['plot', 'regression', 'pairgrid', 'ax', 'ie']","[3.912023005428146, 3.618348003276358, 3.2894072757057797, 3.2894072757057797, 2.9604665481352015]"
"['material', 'calendarview', 'radius', 'round', 'selects']","[4.605170185988092, 4.605170185988092, 3.453877639491069, 3.453877639491069, 3.453877639491069]"
"['form', 'control', 'crm', 'entity', 'inspection']","[3.506557897319982, 3.068238160154984, 2.8782313662425576, 2.8782313662425576, 2.8782313662425576]"
"['prediction', 'image', 'classification', 'loss', 'accuracy']","[3.223619130191664, 3.2188758248682006, 2.763102111592855, 2.763102111592855, 2.763102111592855]"
"['power', 'turbine', 'weather', 'production', 'city']","[4.605170185988092, 4.605170185988092, 3.8376418216567427, 3.453877639491069, 2.68634927515972]"
"['chart', 'cellname', 'graph', 'mouse', 'selection']","[4.605170185988092, 4.605170185988092, 4.605170185988092, 3.453877639491069, 2.629918422989986]"
"['histogram', 'bin', 'range', 'subfolders', 'populate']","[3.914394658089878, 3.914394658089878, 3.223619130191664, 2.532843602293451, 2.532843602293451]"
"['intellisense', 'resource', 'staticresource', 'showsmy', 'nothing']","[3.0701134573253945, 2.995732273553991, 2.68634927515972, 2.68634927515972, 2.0454921067699896]"
"['bullet', 'tank', 'layer', 'location', 'axis']","[4.605170185988092, 4.276229458417514, 3.353162576081268, 2.9604665481352015, 2.9604665481352015]"
"['character', 'suggester', 'whitespace', 'configure', 'handler']","[3.912023005428146, 3.8376418216567427, 3.8376418216567427, 3.0701134573253945, 2.6080153369520973]"
"['distance', 'marker', 'map', 'midpoint', 'icon']","[3.8376418216567427, 3.0701134573253945, 2.9221315810999844, 2.68634927515972, 2.68634927515972]"
"['kibana', 'elasticsearch', 'icmp', 'couldnt', 'port']","[4.605170185988092, 3.618348003276358, 2.9604665481352015, 2.6315258205646237, 2.6315258205646237]"
"['migration', 'cloud', 'env', 'mysql', 'google']","[3.453877639491069, 3.453877639491069, 3.453877639491069, 2.9340172540711094, 2.4141568686511503]"
"['controller', 'zombocom', 'building', 'trouble', 'route']","[3.506557897319982, 3.0701134573253945, 3.0701134573253945, 3.0701134573253945, 2.6823965207235]"
"['div', 'absolute', 'z', 'position', 'index']","[4.605170185988092, 2.6315258205646237, 2.235441717387512, 1.8393576142104002, 1.7118470134594233]"
"['foo', 'crud', 'gonna', 'authentication', 'endpoint']","[4.605170185988092, 3.1398887631736994, 2.7212369280838726, 2.7212369280838726, 2.7212369280838726]"
"['dictionary', 'task', 'loop', 'merge', 'bit']","[3.912023005428146, 3.0701134573253945, 2.659260036932778, 2.6080153369520973, 2.6080153369520973]"
"['libgs', 'ghostscript', 'anu', 'difference', 'dependency']","[4.605170185988092, 3.453877639491069, 3.453877639491069, 3.453877639491069, 3.2188758248682006]"
"['subscription', 'suspend', 'cancel', 'account', 'paragraph']","[4.605170185988092, 4.02952391273958, 3.453877639491069, 2.8782313662425576, 2.8782313662425576]"
"['mock', 'test', 'bounty', 'fails', 'rate']","[3.453877639491069, 3.068238160154984, 2.9340172540711094, 2.8782313662425576, 2.8782313662425576]"
"['module', 'execution', 'multiprocessing', 'import', 'importance']","[3.506557897319982, 2.7212369280838726, 2.7212369280838726, 2.667288412791918, 2.511911010538959]"
